Age (ka),PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30
120,-0.87585,0.31515,0.089567,-0.21116,-0.051827,0.029975,-0.18331,0.093745,0.2366,-0.020468,0.036894,-0.082717,-0.045176,0.020798,-0.030325,-0.053072,0.00088176,-0.0062767,0.013744,-0.0439,0.0036798,0.029063,0.0068328,0.021431,0.011124,0.002393,-0.0049481,0.002066,0.0075619,0.0097239
122,-0.88334,0.27238,0.24647,-0.22694,-0.22597,0.013695,-0.24398,0.071843,0.30613,0.0034338,0.014215,0.080193,-0.050218,0.019443,-0.033078,0.060509,-0.034498,0.10556,0.038514,-0.089217,-0.015199,-0.0069449,-0.018777,-0.018574,-0.012315,0.02908,-0.0077785,-0.005011,-0.010499,-0.0011535
124,-0.90964,0.30832,0.21679,-0.2584,-0.2691,3.1051e-05,-0.20616,0.095437,0.29322,-0.012435,-0.012138,-0.038905,0.0029723,0.012036,0.0025707,0.0049915,0.038898,0.04933,-0.0071399,-0.063826,-0.029487,0.036739,-0.012973,-0.0035645,-0.021361,0.018534,0.054861,-0.007565,-0.010348,0.0012708
126,-0.91009,0.36536,0.15027,-0.22751,-0.25559,-0.038408,-0.19873,0.15214,0.24353,-0.0011283,-0.017271,-0.17495,0.065731,0.027274,0.062264,-0.087106,0.097478,-0.013808,0.00070225,-0.0078685,-0.03971,0.025877,0.0036311,5.0065e-05,-0.0046364,-0.0026849,0.033263,0.0084593,-8.0075e-05,-0.0015607
128,-0.89751,0.416,0.082267,-0.01895,-0.045471,-0.089334,-0.17289,0.097776,0.17901,0.069646,-0.024706,-0.034263,0.038825,0.019885,-0.091504,-0.11,-0.033905,-0.0083287,-0.01449,-0.0037674,0.0016596,0.0424,0.01479,0.052484,-0.0093274,0.013567,0.022152,0.00013543,0.012351,0.012329
130,-0.5135,0.26524,-0.077923,0.040163,0.10348,-0.053112,-0.14364,0.28983,-0.0049198,0.18858,-0.029784,-0.11373,0.089681,-0.18441,0.29522,0.066214,0.099738,0.043279,0.0070713,0.05929,-0.0090014,-0.019167,0.099828,-0.017528,0.041562,0.0066902,-0.053245,-0.01164,-0.016216,-0.0074782
132,0.11569,-0.066607,-0.17256,-0.24263,0.5978,-0.078561,-0.016165,0.4284,0.0014853,0.40412,-0.32764,-0.027556,0.11759,-0.28956,0.35984,0.23379,-0.09358,0.099381,-0.0063607,-0.045066,0.040489,-0.057739,-0.056326,0.014797,-0.010838,0.038725,0.024115,-0.0045291,-0.01389,0.0055147
134,0.24613,-0.10279,-0.28513,-0.27685,0.43269,-0.55637,-0.013377,0.065778,0.055954,0.065119,-0.093891,0.098725,-0.17304,0.17699,-0.10401,0.096754,0.044283,-0.10625,-0.014571,-0.10282,-0.10278,-0.10738,-0.055194,0.029642,0.010089,0.021073,0.036856,0.0067339,-0.018216,0.011499
136,0.34841,-0.095074,0.20072,0.073241,0.27811,-0.15111,-0.041703,-0.03664,0.082108,0.025267,0.073118,-0.017958,-0.12814,-0.1156,-0.0079895,0.04272,0.11349,-0.099098,-0.07936,-0.035777,-0.041779,-0.073406,0.079306,-0.014676,0.00068703,-0.034766,0.014885,-0.0070237,-0.020039,-0.01255
138,0.4472,-0.11969,0.36901,0.1548,0.39622,0.097181,-0.050244,-0.028486,0.016414,0.045317,-0.063674,0.15469,-0.13181,-0.093486,-0.10184,-0.032092,0.0087689,0.011035,-0.068825,-0.077167,0.06497,-0.099372,0.06733,0.001808,-0.039985,-0.044558,-0.071213,0.0092243,-0.0016887,-0.015565
140,0.93229,-0.055569,1.0608,0.29783,0.16689,0.024023,-0.071752,-0.20688,-0.081557,-0.060919,-0.002248,0.28649,0.18608,-0.0053937,-0.02991,0.1671,0.072645,-0.0095408,0.024575,-0.22595,0.099374,0.19788,-0.021733,-0.078575,-0.019681,0.033192,0.019357,-0.015225,-0.016562,-0.0052422
142,0.44771,-0.31676,0.048968,0.25203,0.21679,-0.02166,-0.1793,0.080473,0.18391,0.031821,0.2424,0.20662,-0.20383,-0.12538,-0.16942,0.083326,-0.22184,0.13434,0.020972,0.057028,0.040774,0.041356,0.025992,0.0024376,0.017624,0.029962,-0.032858,-0.04159,0.0040287,0.015738
144,0.35947,-0.26006,0.01018,0.18174,0.002996,0.041846,-0.0023263,-0.056892,0.29651,0.077164,0.099765,-0.18745,-0.089661,-0.0038199,-0.0025839,0.014115,-0.16871,-0.091329,0.0014412,-0.028897,-0.075361,0.0096367,-0.01754,0.010543,0.022312,-0.0017971,0.012609,-0.0057194,0.0236,-0.00057321
146,0.3508,-0.25797,0.056758,0.24372,-0.09573,0.061309,0.022003,-0.13948,0.18579,0.049797,0.12139,-0.028009,-0.09165,-0.0289,-0.00032277,0.077895,-0.14617,0.055148,0.023815,-0.025422,-0.019189,-0.0071346,-0.0047145,-0.032159,0.014884,0.01781,-0.035272,-0.010409,0.009943,-0.0056997
148,0.36769,-0.23985,0.062804,0.21437,-0.12689,-0.11804,0.026473,-0.17077,0.2046,0.023785,0.19525,-0.19779,-0.11382,-0.062247,0.095177,0.067814,-0.022982,-0.034434,-0.023609,0.032411,-0.040735,-0.015042,0.02737,-0.046817,0.036537,0.016761,0.034631,-0.015496,0.0017936,-0.005202
150,0.25098,-0.23664,-0.018543,0.20602,0.12237,-0.10558,0.073632,-0.1788,0.34711,0.041559,0.24175,-0.36374,-0.20364,-0.13818,0.033156,-0.011388,0.038059,-0.06206,-0.10418,-0.004956,-0.041157,0.062343,0.08039,-0.0099654,0.041642,-0.02079,0.037029,-0.021261,0.012882,0.0072278
